"sp","occ_avg","occ_lo","occ_me","occ_hi","occ_confi"
"NOFL",0.0161605749323141,0.0075127607899347,0.016213436322132,0.0246404085045389,0.1
"NOMO",0.0312820424374903,0.0201185690624918,0.0308627090865759,0.045329422303822,0.1
"NOPA",0.0690376873993327,0.0552127087236761,0.0686599147471972,0.0859681633542203,0.1
"NRWS",0.00417277449654878,0,0.00426955098555469,0.0100334448160535,0.1
"OROR",0.160886187543391,0.137924877553658,0.160572072441718,0.185337803028729,0.1
"OSPR",0.00433323845442254,0.000836120401337793,0.0036558030313812,0.00919821390450437,0.1
"PABU",0.48956787374654,0.460448564240835,0.490326378118846,0.518023361222946,0.1
"PIWA",0.13900119013086,0.119055487768394,0.139043561826044,0.16011704974573,0.1
"PIWO",0.108229111120537,0.0901868136186352,0.106719930765625,0.130864885341746,0.1
"PRAW",0.079792056240841,0.0593970584443778,0.0791076491366702,0.0978126057433615,0.1
"PROW",0.0244616467128754,0.0150266225582861,0.0238804872925856,0.0344725251643966,0.1
"PUMA",0.0109744265755829,0.00399375578168363,0.0111780995754169,0.0188370128560924,0.1
"RBWO",0.211280998590647,0.189149100719368,0.211488349231977,0.239430406564905,0.1
"REVI",0.0393597908881202,0.0274395882366191,0.0380783696382419,0.0513503138341643,0.1
"RHWO",0.207440455655986,0.183341811334187,0.207474025899054,0.234302921351476,0.1
"ROYT",0.00313174864926464,0,0.00283643253920373,0.00713526793495019,0.1
"RSHA",0.0470799378837789,0.030669642083991,0.0466129245915717,0.0685055600243204,0.1
"RTHA",0.0258096993060433,0.0162312018579766,0.025251730030015,0.0369676209142585,0.1
"RTHU",0.00224080267558528,0,0.00222965440356745,0.00445930880713489,0.1
"RWBL",0.00356521739130435,0,0.00347826086956522,0.00786956521739129,0.1
"SCTA",0.137058985278821,0.121267350577777,0.137308358084057,0.15425805199407,0.1
"STKI",0.00172173913043478,0,0.00173913043478261,0.00521739130434783,0.1
"SUTA",0.313760176789225,0.288618132754637,0.313965892062863,0.34564298573754,0.1
"TRES",0.000930434782608696,0,0.000869565217391304,0.00260869565217391,0.1
